character,traditional_character,alternate_characters,pinyin,hsk_level,frequency,definition
"雁","","","yàn","","2553","wild goose"
"绅","紳","紳","shēn","6","2554","girdle; tie, bind; gentry"
"珊","","","shān","","2555","coral"
"榜","","","bǎng","6","2556","placard; list of successful exam candidates"
"诵","誦","誦","sòng","6","2557","recite, chant, repeat"
"傍","","","bàng","5","2558","by side of, beside, near, close"
"彦","彥","彥","yàn","","2559","elegant"
"醇","","","chún","","2560","rich, good as wine; pure, unmixed"
"笛","","","dí","","2561","bamboo flute; whistle"
"禽","","","qín","6","2562","birds, fowl; surname;; capture"
"勿","","","wù","5","2563","must not, do not; without, never"
"娟","","","juān","","2564","beautiful, graceful"
"瞄","","","miáo","6","2565","take aim at; look at"
"幢","","","chuáng","6","2566","carriage curtain; sun screen"
"寇","","","kòu","","2567","bandits, thieves; enemy; invade"
"睹","","","dǔ","6","2568","look at, gaze at; observe"
"贿","賄","賄","huì","6","2569","bribe; bribes; riches, wealth"
"踩","","","cǎi","5","2570","step on"
"霆","","","tíng","","2571","a sudden peal of thunder"
"呜","嗚","嗚","wū","","2572","sound of crying, sobbing"
"拱","","","gǒng","","2573","fold hands on breast; bow, salute"
"妃","","","fēi","","2574","wife, spouse; imperial concubine"
"蔑","","","miè","6","2575","disdain, disregard; slight"
"谕","諭","諭","yù","","2576","proclaim, instruct; edict"
"缚","縛","縛","fù","6","2577","to tie"
"诡","詭","詭","guǐ","","2578","deceive, cheat, defraud; sly"
"篷","","","péng","6","2579","awning, covering; sail; boat"
"淹","","","yān","6","2580","drown; cover with liquid, steep"
"腕","","","wàn","","2581","wrist"
"煮","","","zhǔ","5","2582","cook"
"倩","","","qiàn","","2583","beautiful, lovely; son-in-law"
"卒","","","zú","","2584","soldier; servant; at last, finally"
"勘","","","kān","6","2585","investigate; compare; collate"
"馨","","","xīn","","2586","fragrant, aromatic; distant fragrance"
"逗","","","dòu","5","2587","tempt, allure, arouse, stir"
"甸","","","diān","","2588","suburbs of capital; govern; crops"
"贱","賤","賤","jiàn","","2589","mean, low; cheap, worthless"
"炒","","","chǎo","5","2590","fry, saute, roast, boil, cook"
"灿","燦","燦","càn","6","2591","vivid, illuminating; bright"
"敞","","","chǎng","6","2592","roomy, spacious, open, broad"
"蜡","蠟","蠟","là","6","2593","wax; candle; waxy, glazed; maggot; as a non-simplified form sometimes used as an equivalent to"
"囚","","","qiú","","2594","prisoner, convict; confine"
"栗","慄","慄","lì","","2595","chestnut tree, chestnuts; surname"
"辜","","","gū","6","2596","crime, criminal offense"
"垫","墊","墊","diàn","6","2597","advance money, pay for another"
"妒","","","dù","6","2598","jealous, envious"
"魁","","","kuí","","2599","chief; leader; best; monstrous"
"谣","謠","謠","yáo","6","2600","sing; folksong, ballad; rumor"
"寞","","","mò","5","2601","silent, still, lonely, solitary"
"蜀","","","shǔ","","2602","name of an ancient state"
"甩","","","shuǎi","5","2603","throw away, discard"
"涯","","","yá","","2604",""
"枕","","","zhěn","6","2605","pillow"
"丐","","","gài","6","2606","beggar; beg; give"
"泳","","","yǒng","2","2607","dive; swim"
"奎","","","kuí","","2608","stride of man; one of the twenty-eight lunar mansions"
"泌","","","mì","6","2609","to seep out, excrete"
"逾","","","yú","","2610","go over, pass over, exceed"
"叮","","","dīng","6","2611","exhort or enjoin repeatedly"
"黛","","","dài","","2612","blacken eyebrows; black"
"燥","","","zào","5","2613","dry, parched, arid; quick-tempered"
"掷","擲","擲","zhì","6","2614","throw, hurl, cast, fling"
"藉","","","jí","","2615","mat, pad; rely on; pretext"
"枢","樞","樞","shū","","2616","door hinge; pivot; center of power"
"憎","","","zēng","","2617","hate, detest, abhor; hatred"
"鲸","鯨","鯨","jīng","","2618","whale"
"弘","","","hóng","","2619","enlarge, expand; liberal, great"
"倚","","","yǐ","","2620","rely on, depend on; lean heavily"
"侮","","","wǔ","6","2621","insult, ridicule, disgrace"
"藩","","","fān","","2622","fence; boundary; outlying border"
"拂","","","fú","","2623","shake off, brush away; dust"
"鹤","鶴","鶴","hè","","2624","crane; Grus species (various)"
"蚀","蝕","蝕","shí","6","2625","nibble away; erode; eclipse"
"浆","漿","漿","jiāng","","2626","any thick fluid; starch; broth"
"芙","","","fú","","2627","hibiscus"
"垃","","","lā","4","2628","garbage, refuse, waste"
"烤","","","kǎo","4","2629","bake, roast, toast, cook"
"晒","曬","曬","shài","5","2630","dry in sun, expose to sun"
"霜","","","shuāng","6","2631","frost; crystallized; candied"
"剿","","","jiǎo","","2632","destroy, exterminate, annihilate"
"蕴","蘊","蘊","yùn","6","2633","to collect, gather, store; profound"
"圾","","","jī","4","2634","garbage, rubbish; shaking; danger"
"绸","綢","綢","chóu","5","2635","silk cloth, satin damask"
"屿","嶼","嶼","yǔ","5","2636","island"
"氢","氫","氫","qīng","","2637","ammonia; hydrogen nitride"
"驼","駝","駝","tuó","","2638","a camel; humpbacked; to carry on the back"
"妆","妝","妝","zhuāng","6","2639","to adorn oneself, dress up, use make-up"
"捆","","","kǔn","6","2640","tie up; bind, truss up; bundle"
"铅","鉛","鉛","qiān","2","2641","lead"
"逛","","","guàng","4","2642","ramble, stroll, roam, wander"
"淑","","","shū","","2643","good, pure, virtuous, charming"
"榴","","","liú","","2644","pomegranate"
"丙","","","bǐng","6","2645","third; 3rd heavenly stem"
"痒","癢","癢","yǎng","5","2646","itch"
"钞","鈔","鈔","chāo","6","2647","paper money, bank notes; copy"
"蹄","","","tí","","2648","hoof; leg of pork; little witch"
"犬","","","quǎn","6","2649","dog; radical number 94"
"躬","","","gōng","6","2650","body; personally, in person"
"昼","晝","晝","zhòu","6","2651","daytime, daylight"
"藻","","","zǎo","","2652","splendid, magnificent; algae"
"蛛","","","zhū","","2653","spider"
"褐","","","hè","","2654","coarse woolen cloth; dull, dark"
"颊","頰","頰","jiá","","2655","cheeks, jaw"
"奠","","","diàn","6","2656","pay respect; settle"
"募","","","mù","","2657","levy, raise; summon; recruit"
"耽","","","dān","5","2658","indulge in; be negligent"
"蹈","","","dǎo","6","2659","stamp feet; dance"
"陋","","","lòu","6","2660","narrow; crude, coarse; ugly"
"侣","侶","侶","lǚ","6","2661","companion; associate with"
"魅","","","mèi","5","2662","kind of forest demon, elf"
"岚","嵐","嵐","lán","","2663","mountain mist, mountain haze"
"侄","","","zhí","6","2664","nephew"
"虐","","","nüè","6","2665","cruel, harsh, oppressive"
"堕","墮","墮","duò","6","2666","fall, sink, let fall; degenerate"
"陛","","","bì","","2667","steps leading throne; throne"
"莹","瑩","瑩","yíng","","2668","luster of gems; bright, lustrous"
"荫","蔭","蔭","yīn","","2669","shade, shelter; protect"
"狡","","","jiǎo","5","2670","cunning, deceitful, treacherous"
"阀","閥","閥","fá","","2671","powerful and influential group"
"绞","絞","絞","jiǎo","","2672","twist, wring; intertwine; winch"
"膏","","","gāo","4","2673","grease, fat; paste, ointment"
"垮","","","kuǎ","","2674","be defeated, fail, collapse"
"茎","莖","莖","jīng","6","2675","stem, stalk"
"缅","緬","緬","miǎn","","2676","distant, remote; think of"
"喇","","","lǎ","6","2677","horn, bugle; lama; final particle"
"绒","絨","絨","róng","6","2678","silk, cotton, or woolen fabric"
"搅","攪","攪","jiǎo","6","2679","disturb, agitate, stir up"
"凳","","","dèng","","2680","bench; stool"
"梭","","","suō","","2681",""
"丫","","","yā","","2682","forked; bifurcation"
"姬","","","jī","","2683","beauty; imperial concubine"
"诏","詔","詔","zhào","","2684","decree, proclaim; imperial decree"
"钮","鈕","鈕","niǔ","","2685","button, knob; surname"
"棺","","","guān","","2686","coffin"
"耿","","","gěng","","2687","bright, shining; have guts"
"缔","締","締","dì","6","2688","tie, join, connect; connection"
"懈","","","xiè","","2689","idle, relaxed, remiss"
"嫉","","","jí","6","2690","jealousy; be jealous of"
"灶","竈","竈","zào","6","2691","kitchen stove, cooking stove"
"匀","勻","勻","yún","5","2692","equal"
"嗣","","","sì","","2693","to connect, inherit; descendants, heirs"
"鸽","鴿","鴿","gē","6","2694","pigeon, dove; Columba species (various)"
"澡","","","zǎo","3","2695","wash, bathe"
"凿","鑿","鑿","záo","","2696","chisel; bore, pierce"
"纬","緯","緯","wěi","6","2697","woof; parallels of latitude"
"沸","","","fèi","6","2698","boil, bubble up, gush"
"畴","疇","疇","chóu","6","2699","farmland, arable land; category"
"刃","","","rèn","","2700","edged tool, cutlery, knife edge"
"遏","","","è","6","2701","stop, suppress, curb, check; a bar"
"烁","爍","爍","shuò","6","2702","shine, glitter, sparkle"
"嗅","","","xiù","6","2703","smell, scent, sniff; olfactive"
"叭","","","bā","6","2704","trumpet"
"熬","","","áo","5","2705","cook down, to boil; endure"
"瞥","","","piē","","2706","take fleeting glance at"
"骸","","","hái","","2707","skeleton, body; leg bone"
"奢","","","shē","6","2708","extravagant, wasteful; exaggerate"
"拙","","","zhuō","6","2709","stupid, clumsy, crude; convention"
"栋","棟","棟","dòng","6","2710","main beams supporting house"
"毯","","","tǎn","5","2711","rug, carpet, blanket"
"桐","","","tóng","","2712","name applied various trees"
"砂","","","shā","","2713","sand; pebbles, gravel; gritty"
"莽","","","mǎng","","2714","thicket, underbrush; poisonous"
"泻","瀉","瀉","xiè","6","2715","drain off, leak; flow, pour down"
"坪","","","píng","","2716","level ground; Japanese measure"
"梳","","","shū","5","2717","comb; brush"
"杉","","","shān","","2718","various species of pine and fir"
"晤","","","wù","6","2719","have interview with; meet"
"稚","","","zhì","6","2720","young, immature; childhood"
"蔬","","","shū","5","2721","vegetables, greens"
"蝇","蠅","蠅","yíng","","2722","flies"
"捣","搗","搗","dǎo","6","2723","hull; thresh; beat, attack"
"顷","頃","頃","qǐng","","2724","a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean"
"麽","麼","麼","mó","","2725","interrogative final particle; insignificant, small, tiny"
"尴","尷","尷","gān","6","2726","embarrassed; ill at ease"
"镖","鏢","鏢","biāo","","2727","dart, spear, harpoon; escort"
"诧","詫","詫","chà","6","2728","be surprised, be shocked"
"尬","","","gà","6","2729","limp, staggering gait; embarrass"
"硫","","","liú","","2730","sulfur"
"嚼","","","jué","6","2731","prattle, be glib"
"羡","羨","羨","xiàn","4","2732","envy, admire; praise; covet"
"沦","淪","淪","lún","","2733","be lost; sink, be submerged"
"沪","滬","滬","hù","","2734","Shanghai; river near Shanghai"
"旷","曠","曠","kuàng","6","2735","extensive, wide, broad; empty"
"彬","","","bīn","","2736","cultivated, well-bred"
"芽","","","yá","6","2737","bud, sprout, shoot"
"狸","","","lí","","2738","fox"
"冥","","","míng","","2739","dark, gloomy, night; deep"
"碳","","","tàn","6","2740","carbon"
"咧","","","liě","","2741","stretch mouth, grimace, grin"
"惕","","","tì","6","2742","be cautious, careful, alert"
"暑","","","shǔ","4","2743","hot"
"咯","","","gē","","2744","final particle"
"萝","蘿","蘿","luó","","2745","type of creeping plant; turnip"
"汹","洶","洶","xiōng","6","2746","turbulent; noisy, restless"
"腥","","","xīng","6","2747","raw meat; rank, strong-smelling"
"窥","窺","窺","kuī","","2748","peep, watch, spy on, pry"
"俺","","","ǎn","","2749","personal pronoun, I"
"潭","","","tán","","2750","deep pool, lake; deep, profound"
"崎","","","qí","","2751","rough, uneven, jagged, rugged"
"麟","","","lín","","2752","female of Chinese unicorn"
"捡","撿","撿","jiǎn","5","2753","to pick up"
"拯","","","zhěng","","2754","help, save, aid; lift, raise"
"厥","","","jué","","2755","personal pronoun he, she, it"
"澄","","","chéng","6","2756","purify water by allowing sediment to settle; clear, pure"
"萎","","","wēi","6","2757","wither, wilt"
"哉","","","zāi","","2758","final exclamatory particle"
"涡","渦","渦","wō","","2759","swirl, whirlpool, eddy"
"滔","","","tāo","6","2760","overflow; rushing water, a torrent"
"暇","","","xiá","","2761","leisure, relaxation, spare time"
"溯","","","sù","","2762","go upstream, go against current; formerly"
"鳞","鱗","鱗","lín","","2763","fish scales"
"酿","釀","釀","niàng","6","2764","brew, ferment"
"茵","","","yīn","","2765","a cushion, mattress; wormwood; Skimmia japon"
"愕","","","è","","2766","startled, alarmed, astonished"
"瞅","","","chǒu","","2767","see, look, gaze at"
"暮","","","mù","","2768","evening, dusk, sunset; ending"
"衙","","","yá","","2769","public office; official residence"
"诫","誡","誡","jiè","6","2770","warn, admonish; warning"
"斧","","","fǔ","","2771","axe, hatchet; chop, hew"
"兮","","","xī","","2772","exclamatory particle"
"焕","煥","煥","huàn","","2773","shining"
"棕","","","zōng","6","2774","hemp palm; palm tree"
"佑","","","yòu","","2775","help, protect, bless"
"嘶","","","sī","","2776","neighing of a horse; gravel voiced, husky throated; (Cant.) to hiccough"
"妓","","","jì","","2777","prostitute"
"喧","","","xuān","6","2778","lively, noisy; clamor, talk loudly"
"蓉","","","róng","","2779","hibiscus; Chengdu, Sichuan"
"删","刪","刪","shān","5","2780","to cut; delete"
"樱","櫻","櫻","yīng","","2781","cherry, cherry blossom"
"伺","","","cì","6","2782","serve, wait upon, attend; examine"
"嗡","","","wēng","","2783","sound of flying bees, airplanes"
"娥","","","é","","2784","be beautiful; good; surname"
"梢","","","shāo","6","2785","pointed tip of something long like a branch; rudder"
"坝","壩","壩","bà","6","2786","embankment; dam"
"蚕","蠶","蠶","cán","","2787","silkworms"
"敷","","","fū","6","2788","spread, diffuse; apply, paint"
"澜","瀾","瀾","lán","","2789","overflowing; waves, ripples"
"杏","","","xìng","","2790","apricot; almond"
"绥","綏","綏","suí","","2791","soothe, appease, pacify"
"冶","","","yě","","2792","smelt, fuse metals; cast, found"
"庇","","","bì","6","2793","cover, shield, shelter, protect"
"挠","撓","撓","náo","6","2794","scratch; disturb, bother; submit"
"搂","摟","摟","lǒu","6","2795","hug, embrace; drag, pull"
"倏","","","shū","","2796","hastily, suddenly, abruptly"
"聂","聶","聶","niè","","2797","whisper; surname"
"婉","","","wǎn","","2798","amiable, congenial; restrained"
"噪","","","zào","6","2799","be noisy; chirp loudly"
"稼","","","jià","6","2800","sow grain; sheaves of grain"
"鳍","鰭","鰭","qí","","2801","fin"
"菱","","","líng","","2802","water-chestnut, water caltrop"
"盏","盞","盞","zhǎn","","2803","small cup or container"
"匿","","","nì","","2804","hide; go into hiding"
"吱","","","zhī","","2805","chirping, squeaking, hissing"
"寝","寢","寢","qǐn","6","2806","sleep, rest; bed chamber"
"揽","攬","攬","lǎn","","2807","grasp, take hold of; monopolize"
"髓","","","suǐ","","2808","bone marrow; essences, substances"
"秉","","","bǐng","","2809","grasp, hold; bundle; authority"
"哺","","","bǔ","6","2810","chew food; feed"
"矢","","","shǐ","","2811","arrow, dart; vow, swear"
"啪","","","pā","","2812","syllable"
"帜","幟","幟","zhì","6","2813","flag, pennant; sign; fasten"
"邵","","","shào","","2814","surname; various place names"
"嗽","","","sòu","4","2815","cough, gargle, clear throat"
"挟","挾","挾","xié","","2816","clasp under arm; hold to bosom"
"缸","","","gāng","","2817","earthen jug, crock, cistern"
"揉","","","róu","6","2818","rub, massage; crush by hand"
"腻","膩","膩","nì","6","2819","greasy, oily, dirty; smooth"
"驯","馴","馴","xún","","2820","tame, docile, obedient"
"缆","纜","纜","lǎn","","2821","hawser, heavy-duty rope, cable"
"晌","","","shǎng","","2822","noon, midday; moment; unit land measurement equal to seven mou ("
"瘫","癱","癱","tān","6","2823","paralysis, palsy, numbness"
"贮","貯","貯","zhù","","2824","store, stockpile, hoard"
"觅","覓","覓","mì","6","2825","seek; search"
"朦","","","méng","","2826","condition or appearance of moon"
"僻","","","pì","6","2827","out-of-the-way, remote; unorthodox"
"隋","","","suí","","2828","Sui dynasty; surname"
"蔓","","","màn","6","2829","creeping plants, tendrils, vines"
"咋","","","zǎ","6","2830","question-forming particle, why? how? what?; to bite; loud"
"嵌","","","qiàn","6","2831","inlay, set in; fall into; rugged"
"虔","","","qián","","2832","act with reverence; reverent"
"畔","","","pàn","6","2833","boundary path dividing fields"
"琐","瑣","瑣","suǒ","","2834","trifling, petty; troublesome"
"碟","","","dié","","2835","small dish, plate"
"涩","澀","澀","sè","6","2836","astringent; harsh; uneven, rough"
"胧","朧","朧","lóng","","2837","condition or appearance of moon"
"嘟","","","dū","","2838","sound of horn tooting"
"蹦","","","bèng","6","2839","hop, leap, jump; bright"
"冢","","","zhǒng","","2840","burial mound, mausoleum; grand"
"浏","瀏","瀏","liú","5","2841","clear; bright; whistling"
"裔","","","yì","5","2842","progeny, descendants, posterity"
"襟","","","jīn","","2843","lapel, collar"
"叨","","","dāo","6","2844","talkative; quarrelous"
"诀","訣","訣","jué","","2845","take leave of, bid farewell"
"旭","","","xù","","2846","rising sun; brilliance; radiant"
"虾","蝦","蝦","xiā","","2847","shrimp, prawn"
"簿","","","bù","","2848","register, account book, notebook"
"啤","","","pí","3","2849","beer"
"擒","","","qín","","2850","catch, capture, seize, arrest"
"枣","棗","棗","zǎo","","2851","date tree; dates, jujubes; surname"
"嘎","","","gā","","2852","sound of laughter; bad, malevolent"
"苑","","","yuàn","","2853","pasture, park, garden; mansion"
"牟","","","móu","","2854","make; seek, get; barley; low"
"呕","嘔","嘔","ǒu","6","2855","vomit; annoy, enrage"
"骆","駱","駱","luò","","2856","a white horse with black mane; a camel"
"凸","","","tū","6","2857","protrude, bulge out, convex"
"熄","","","xī","6","2858","put out, extinguish, quash"
"兀","","","wù","","2859","to cut off the feet"
"喔","","","ō","","2860","descriptive of crying or of crowing"
"裳","","","shang","6","2861","clothes; skirt; beautiful"
"凹","","","āo","6","2862","concave, hollow, depressed; a pass, valley"
"赎","贖","贖","shú","","2863","buy, redeem; ransome; atone for"
"屯","","","tún","","2864","village, hamlet; camp; station"
"膛","","","táng","6","2865","chest; hollow space, cavity"
"浇","澆","澆","jiāo","5","2866","spray, water, sprinkle"
"灼","","","zhuó","","2867","burn; broil; cauterize; bright"
"裘","","","qiú","","2868","fur garments; surname"
"砰","","","pēng","","2869","sound of crashing stones, bang!"
"棘","","","jí","","2870","jujube tree; thorns, brambles"
"橡","","","xiàng","4","2871","chestnut oak; rubber tree; rubber"
"碱","鹼","鹼","jiǎn","","2872","alkaline, alkali, lye, salt"
"聋","聾","聾","lóng","6","2873","deaf"
"姥","","","lǎo","5","2874","maternal grandmother; midwife"
"瑜","","","yú","","2875","flawless gem or jewel"
"毋","","","wú","","2876","do not; not; surname; rad. 80"
"娅","婭","婭","yà","","2877","mutual term of address used by sons-in-law; a brother-in-law"
"沮","","","jǔ","6","2878","stop, prevent; defeated, dejected"
"萌","","","méng","6","2879","bud, sprout"
"俏","","","qiào","","2880","like, similar; resemble; pretty"
"黯","","","àn","","2881","dark, black; sullen, dreary"
"撇","","","piē","6","2882","discard, abandon, throw away"
"粟","","","sù","","2883","unhusked millet; grain"
"粪","糞","糞","fèn","","2884","manure, dung, shit, excrement, night soil"
"尹","","","yǐn","","2885","govern; oversee; director"
"苟","","","gǒu","6","2886","careless, frivolous; illicit; grammatical particle: if, but, if only; surname; grass name; distinguish DKW 30853 (ji4)"
"癫","癲","癲","diān","","2887","crazy, mad; madness, mania, insan"
"蚂","螞","螞","mǎ","6","2888","ant; leech"
"禹","","","yǔ","","2889","legendary hsia dynasty founder"
"廖","","","liào","","2890","surname; name of an ancient state"
"俭","儉","儉","jiǎn","6","2891","temperate, frugal, economical"
"帖","","","tiē","6","2892","invitation card; notice"
"煎","","","jiān","6","2893","fry in fat or oil; boil in water"
"缕","縷","縷","lǚ","","2894","thread; detailed, precise"
"窦","竇","竇","dòu","","2895","surname; hole, burrow; corrupt"
"簇","","","cù","","2896","swarm, crowd together, cluster"
"棱","","","léng","","2897","squared timber; angle, edge"
"叩","","","kòu","","2898","knock, ask; kowtow, bow"
"呐","吶","吶","nà","","2899","raise voice, yell out loud, shout; stammer"
"瑶","瑤","瑤","yáo","","2900","precious jade"
"墅","","","shù","6","2901","villa, country house"
"莺","鶯","鶯","yīng","","2902","oriole, green finch; Sylvia species (various)"
"烫","燙","燙","tàng","5","2903","scald, heat; wash; iron clothes"
"蛙","","","wā","","2904","frog"
"歹","","","dǎi","6","2905","bad, vicious, depraved, wicked"
"伶","","","líng","6","2906","lonely, solitary; actor"
"葱","蔥","蔥","cōng","","2907","scallions, leeks, green onions"
"哮","","","xiāo","","2908","cough; pant; roar"
"眩","","","xuàn","","2909","to confuse; dizzy, dazed, disoriented"
"坤","","","kūn","","2910","earth; feminine, female"
"廓","","","kuò","6","2911","broad, wide, open, empty; to expand"
"讳","諱","諱","huì","6","2912","conceal; shun; regard as taboo"
"啼","","","tí","","2913","weep, whimper; howl, twitter"
"乍","","","zhà","","2914","first time, for the first time"
"瓣","","","bàn","6","2915","petal; segment; valves"
"矫","矯","矯","jiǎo","","2916","correct, rectify, straighten out"
"跋","","","bá","","2917","go by foot; epilogue, colophon"
"枉","","","wǎng","6","2918","useless, in vain; bent, crooked"
"梗","","","gěng","","2919","stem of flower, branch of plant"
"厕","廁","廁","cè","4","2920","mingle with; toilet, lavatory"
"琢","","","zuó","6","2921","polish jade; cut jade"
"讥","譏","譏","jī","6","2922","ridicule, jeer, mock; inspect"
"釉","","","yòu","","2923","glaze"
"窟","","","kū","","2924","hole, cave; cellar; underground"
"敛","斂","斂","liǎn","","2925","draw back, fold back; collect"
"轼","軾","軾","shì","","2926","horizontal wooden bar in front"
"庐","廬","廬","lú","","2927","hut, cottage; name of a mountain"
"胚","","","pēi","","2928","embryo; unfinished things"
"呻","","","shēn","6","2929","groan, moan; recite with intonation"
"绰","綽","綽","chuò","","2930","graceful, delicate; spacious"
"扼","","","è","","2931","grasp, clutch; choke, strangle"
"懿","","","yì","","2932","virtuous, admirable, esteemed"
"炯","","","jiǒng","","2933","bright, brilliant, clear; hot"
"竿","","","gān","","2934","bamboo pole; penis"
"慷","","","kāng","6","2935","ardent; generous, magnanimous"
"虞","","","yú","","2936","concerned about, anxious, worried"
"锤","錘","錘","chuí","6","2937","balance weight on scale; hammer"
"栓","","","shuān","","2938","wooden peg, post or stick"
"桨","槳","槳","jiǎng","6","2939","oar, paddle"
"蚊","","","wén","","2940","mosquito; gnat"
"磅","","","bàng","6","2941","pound; weigh"
"孽","","","niè","","2942","evil; son of concubine; ghost"
"惭","慚","慚","cán","5","2943","ashamed, humiliated; shameful"
"戳","","","chuō","","2944","prick, stab; stamp, seal, chop"
"禀","稟","稟","bǐng","","2945","report to, petition"
"鄂","","","è","","2946","Hubei province; startled"
"馈","饋","饋","kuì","6","2947","offer food superior; send gift"
"垣","","","yuán","","2948","low wall"
"溅","濺","濺","jiàn","6","2949","sprinkle, spray; spill, splash"
"咚","","","dōng","","2950","onomatopoetic, a thumping sound"
"钙","鈣","鈣","gài","6","2951","calcium"
"礁","","","jiāo","","2952","reef; jetty; submerged rocks"
"彰","","","zhāng","6","2953","clear, manifest, obvious"
"豁","","","huō","","2954","open up, clear; exempt"
"眯","","","mī","6","2955","be blinded"
"磷","","","lín","","2956","phosphorus; water rushing between"
"雯","","","wén","","2957","cloud patterns, coloring of cloud"
"墟","","","xū","6","2958","high mound; hilly countryside; wasteland"
"迂","","","yū","","2959","doctrinaire, abstruse, unrealistic"
"瞻","","","zhān","6","2960","look; look out for; respect"
"颅","顱","顱","lú","","2961","skull"
"琉","","","liú","","2962","sparkling stone; glazed, opaque"
"悼","","","dào","6","2963","grieve, mourn, lament; grieved"
"蝴","","","hú","5","2964","butterfly"
"拣","揀","揀","jiǎn","6","2965","choose; select; pick up; gather"
"渺","","","miǎo","6","2966","endlessly long, boundless, vast"
"眷","","","juàn","","2967","take interest in, care for"
"悯","憫","憫","mǐn","","2968","pity, sympathize with, grieve for"
"汰","","","tài","6","2969","excessive; scour, wash out"
"慑","懾","懾","shè","","2970","afraid, scared, fearful"
"婶","嬸","嬸","shěn","","2971",""
"斐","","","fěi","","2972","graceful, elegant, beautiful"
"嘘","噓","噓","xū","","2973","exhale; blow out; deep sigh; hiss; praise"
"镶","鑲","鑲","xiāng","6","2974","insert, inlay, set, mount; fill"
"炕","","","kàng","","2975","the brick-bed in northern China"
"宦","","","huàn","","2976","officialdom, government official"
"趴","","","pā","6","2977","lying prone, leaning over"
"绷","繃","繃","běng","","2978","bind, draw firmly, strap"
"窘","","","jiǒng","","2979","embarrassed; hard-pressed"
"襄","","","xiāng","","2980","aid, help, assist; undress"
"珀","","","pò","","2981","amber"
"嚣","囂","囂","xiāo","","2982","be noisy; treat with contempt"
"拚","","","pàn","","2983","risk, disregard; go all out for"
"酌","","","zhuó","6","2984","serve wine; feast; deliberate"
"浊","濁","濁","zhuó","6","2985","muddy, turbid, dirty, filthy"
"毓","","","yù","","2986","give birth to; bring up, educate"
"撼","","","hàn","6","2987","move, shake; (Cant.) to fight"
"嗜","","","shì","","2988","be fond of, have weakness for"
"扛","","","káng","6","2989","carry on shoulders; lift"
"峭","","","qiào","6","2990","steep, precipitous, rugged"
"磕","","","kē","6","2991","hit; collide, knock into; sound"
"翘","翹","翹","qiào","6","2992","turn up, lift, elevate, raise"
"槽","","","cáo","","2993","trough; manger; vat, tank; groove; a distillery"
"淌","","","tǎng","","2994","trickle; flow down; drip"
"栅","柵","柵","zhà","","2995","fence; palisade; grid"
"颓","頹","頹","tuí","","2996","ruined, decayed; disintegrate"
"熏","燻","燻","xūn","6","2997","smoke, fog, vapor; smoke, cure"
"瑛","","","yīng","","2998","luster of gem; crystal"
"颐","頤","頤","yí","","2999","cheeks; jaw; chin; rear; to nourish"
"忖","","","cǔn","","3000","guess, suppose, conjecture"
"牡","","","mǔ","","3001","male of animals; bolt of door"
"缀","綴","綴","zhuì","6","3002","patch together, link, connect"
"徊","","","huái","6","3003","linger, walk to and fro, hesitain"
"梨","","","lí","5","3004","pear; opera; cut, slash"
"肪","","","fáng","6","3005","animal fat"
"涕","","","tì","6","3006","tear; snivel, nasal mucus"
"惫","憊","憊","bèi","6","3007","tired, weary, fatigued"
"摹","","","mó","","3008","trace, copy, duplicate; pattern"
"踱","","","duó","","3009","stroll, pace, walk slowly"
"肘","","","zhǒu","","3010","the elbow; help a person shoulder a load"
"熔","","","róng","","3011","melt, smelt, fuse; mold"
"挚","摯","摯","zhì","6","3012","sincere, warm, cordial; surname"
"氯","","","lǜ","","3013","chlorine"
"凛","凜","凜","lǐn","","3014","to shiver with cold or fear"
"绎","繹","繹","yì","6","3015","to unravel or unreel silk; to interpret"
"庶","","","shù","","3016","numerous, various; multitude"
"脯","","","pú","","3017","dried meat; preserved fruits"
"迭","","","dié","","3018","repeatedly, frequently"
"睦","","","mù","6","3019","friendly, amiable, peaceful"
"窍","竅","竅","qiào","6","3020","hole, opening, aperture"
"粥","","","zhōu","6","3021","rice gruel, congee"
"庵","","","ān","","3022","Buddhist monastery or nunnery"
"沧","滄","滄","cāng","6","3023","blue, dark green; cold"
"怠","","","dài","6","3024","idle, remiss, negligent; neglect"
"沁","","","qìn","","3025","soak into, seep in, percolate"
"奕","","","yì","","3026","in sequence, orderly; abundant"
"咙","嚨","嚨","lóng","6","3027","throat"
"氨","","","ān","","3028","ammonia; hydrogen nitride"
"矗","","","chù","","3029","straight, upright, erect, lofty"
"盔","","","kuī","","3030","helmet; bowl; basin"
"拇","","","mǔ","","3031","thumb; big toe"
"沛","","","pèi","6","3032","abundant, full, copious; sudden"
"榻","","","tà","","3033","cot, couch, bed"
"揣","","","chuāi","","3034","put things under clothes"
"崭","嶄","嶄","zhǎn","6","3035","high, steep, precipitous; new"
"鞘","","","qiào","","3036","scabbard, sheath"
"鞠","","","jū","6","3037","bow, bend; rear, raise, nourish"
"垦","墾","墾","kěn","","3038","cultivate, reclaim, to farm land"
"洽","","","qià","6","3039","to blend with, be in harmony; to penetrate; to cover; a river in Shenxi"
"唾","","","tuò","6","3040","spit, spit on; saliva"
"橱","櫥","櫥","chú","","3041","cabinet, wardrobe, cupboard"
"仕","","","shì","","3042","official; serve government"
"蜘","","","zhī","","3043","spider"
